MID,DISCIPLINE,COMMONNAME,PHONE,WEBURL,LONGITUDE,LATITUDE,GSTREET,GCITY,GSTATE,GZIP5
8400100001,GMU,WESTERVELT-WARNER MUSEUM OF AMERICAN ART,2055625280,HTTP://TUSCALOOSAMOA.ORG/,-87.5051,33.29531,8316 MOUNTBATTEN RD NE,TUSCALOOSA,AL,35406
8400100002,GMU,U. S. ARMY AVIATION MUSEUM,3345982508, ,-85.71978,31.34936,PO BOX 620610,FORT RUCKER,AL,36362
8400100004,GMU,U.S. SPACE & ROCKET CENTER,2568373400,HTTP://ROCKETCENTER.COM/,-86.62841,34.7138,ONE TRANQUILITY BASE,HUNTSVILLE,AL,35807
8400100005,GMU,WELLBORN MUSCLECAR MUSEUM,2563298474,HTTP://WELLBORNMUSCLECARMUSEUM.COM,-85.95541,32.94394,124 BROAD ST,ALEXANDER CITY,AL,35010
8400100007,GMU,USS ALABAMA BATTLESHIP,2514332703,HTTP://WWW.USSALABAMA.COM,-88.04483,30.69095,2703 BATTLESHIP PKWY,MOBILE,AL,36527
8400100010,GMU,THREE NOTCH MUSEUM,3342220674,HTTP://WWW.3NMSM.COM/,-86.48793,31.30243,PO BOX 1582,ANDALUSIA,AL,36420
8400100012,GMU,SPRINGVILLE MUSEUM,2054672339, ,-86.46785,33.77722,6496 US HIGHWAY 11,SPRINGVILLE,AL,35146
8400100013,GMU,THOMAS BASS MUSEUM,2056992721, ,-86.56749,33.53302,1129 MONTEVALLO ROAD SOUTHWEST,LEEDS,AL,35094
8400100014,GMU,SAMUEL ULLMAN MUSEUM,2059345634, ,-86.79146,33.49766,2150 15TH AVE S,BIRMINGHAM,AL,35205
8400100015,GMU,ORANGE BEACH INDIAN AND SEA,2519818545, ,-87.55306,30.27953,25855 JOHN M SNOOK DR,ORANGE BEACH,AL,36561
8400100017,GMU,POARCH CREEK INDIAN MUSEUM,2513689136, ,-87.54404,31.08927,5811 JACK SPRINGS ROAD,ATMORE,AL,36502
8400100019,GMU,PIEDMONT MUSEUM,2564476904,HTTP://WWW.PIEDMONTCITY.ORG/MUSEUM.HTM,-85.61136,33.92352,109 N CENTER AVE,PIEDMONT,AL,36272
8400100021,GMU,OLD DEPOT MUSEUM,3348742197, ,-87.01422,32.40885,4 MARTIN LUTHER KING ST,SELMA,AL,36703
8400100023,GMU,PHOENIX FIRE MUSEUM,2512087569, ,-88.04333,30.68707,203 S CLAIBORNE ST,MOBILE,AL,36602
8400100025,GMU,RIVER HERITAGE MUSEUM,2512824206, ,-87.45344,31.66616,3 LOCK & DAM RD,FRANKLIN,AL,36444
8400100027,GMU,MUSEUM OF URBAN ART,2058218119, ,-86.81473,33.51487,1527 5TH AVE N,BIRMINGHAM,AL,35203
8400100032,GMU,NATIONAL AFRICAN-AMERICAN ARCHIVES AND MUSEUM,2514338511, ,-88.05651,30.69693,564 DR MARTIN LUTHER KING JR AVE,MOBILE,AL,36603
8400100033,GMU,NATIONAL MARITIME MUSEUM,2514368901, ,-88.04092,30.69698,250 N WATER ST STE 131,MOBILE,AL,36602
8400100034,GMU,MANN WILDLIFE LEARNING MUSEUM,3342404900,HTTP://WWW.MONTGOMERYZOO.COM,-86.27993,32.41765,325 E VANDIVER BLVD,MONTGOMERY,AL,36110
8400100038,GMU,JESSE OWENS MEMORIAL MUSEUM,2569743636, ,-87.17013,34.43882,7010 COUNTY ROAD 203,DANVILLE,AL,35619
8400100039,GMU,JEMISON CARNEGIE HERITAGE HALL,2567611364,HTTP://WWW.HERITAGEHALLMUSEUM.ORG,-86.10316,33.43245,200 SOUTH ST E,TALLADEGA,AL,35160
8400100041,GMU,JULE COLLINS SMITH MUSEUM,3348441484,HTTP://JCSM.AUBURN.EDU/,-85.48474,32.5888,901 S COLLEGE ST,AUBURN,AL,36830
8400100043,GMU,JOHN W INZER MUSEUM,2053382412, ,-86.23727,33.81868,PO BOX 702,ASHVILLE,AL,35953
8400100044,GMU,INTERNATIONAL MOTORSPORTS HALL OF FAME,2563625002,HTTP://WWW.MOTORSPORTSHALLOFFAME.COM/?HOMEPAGE=TRUE,-86.07354,33.58,3198 SPEEDWAY BLVD,LINCOLN,AL,35096
8400100047,GMU,GULF SHORES MUSEUM,2519681473,HTTP://WWW.GULFSHORESAL.GOV/INDEX.ASPX?NID=356,-87.69586,30.27485,244 W 19TH AVE,GULF SHORES,AL,36542
8400100048,GMU,GEORGE P MANN WILDLIFE AND LEARNING MUSEUM,3347417776, ,-85.39071,32.61295,3161 SOCIETY HILL RD,OPELIKA,AL,36804
8400100049,GMU,GREENE MUSEUM,3342985413, ,-85.00075,32.47478,500 14TH ST,PHENIX CITY,AL,36867
8400100050,GMU,FOLEY MUSEUM AND ARCHIVES,2519431818,HTTP://WWW.FOLEYRAILROADMUSEUM.COM,-87.68294,30.40641,125 E LAUREL AVE,FOLEY,AL,36535
8400100051,GMU,GUNTERSVILLE MUSEUM AND CULTURAL CENTER,2565717597,HTTP://WWW.GUNTERSVILLEMUSEUM.ORG,-86.3036,34.34911,1215 RAYBURN AVE,GUNTERSVILLE,AL,35976
8400100053,GMU,FITZGERALD AND FITZGERALD MUSEUM,3342644222, ,-86.29266,32.35837,919 FELDER AVE,MONTGOMERY,AL,36106
8400100054,GMU,GAINESWOOD,3342894846, ,-87.83547,32.50857,805 S CEDAR AVE,DEMOPOLIS,AL,36732
8400100055,GMU,W.C. HANDY HOUSE MUSEUM,2567606434, ,-87.68318,34.79602,620 W COLLEGE ST,FLORENCE,AL,35630
8400100059,GMU,DISCOVERY 2000,2055582003, ,-86.80816,33.51539,200 19TH STREET NORTH,BIRMINGHAM,AL,35203
8400100060,GMU,CLAY HOUSE MUSEUM,2563251018, ,-86.74973,34.69313,16 MAIN ST,MADISON,AL,35758
8400100061,GMU,EDITH NEWMAN CULVER MEMORIAL MUSEUM,2567676081,HTTP://WWW.MUSEUMSUSA.ORG/MUSEUMS/INFO/1154245,-88.0635,34.914,501 MAIN ST,WATERLOO,AL,35677
8400100062,GMU,DAPHNE MUSEUM,2516219620,HTTP://WWW.DAPHNEMUSEUMALABAMA.ORG/,-87.87618,30.62109,PO BOX 847,DAPHNE,AL,36526
8400100063,GMU,DEXTER AVENUE KING MEMORIAL FOUNDATION,3342613270, ,-86.29625,32.37289,315 S JACKSON ST,MONTGOMERY,AL,36104
8400100068,GMU,CULLMAN COUNTY MUSEUM,8005331258,HTTP://CULLMANCOUNTYMUSEUM.COM/,-86.84284,34.17922,211 2ND AVE NE,CULLMAN,AL,35055
8400100072,GMU,DON KRESGE MEMORIAL MUSEUM,2058226759,HTTP://WWW.ALABAMAHISTORICALRADIOSOCIETY.ORG,-86.81185,33.51784,600 18TH ST N,BIRMINGHAM,AL,35203
8400100076,GMU,DEPOT MUSEUM,2568455714,HTTP://WWW.FORTPAYNEDEPOTMUSEUM.COM/,-85.71449,34.43922,105 5TH STREET NORTHEAST,FORT PAYNE,AL,35967
8400100078,GMU,CENTRAL CARVER LEGACY MUSEUM,2565494742,HTTP://WWW.CENTRALCARVER.ORG/,-85.95643,34.00027,PO BOX 8563,GADSDEN,AL,35902
8400100088,GMU,BERMAN MUSEUM OF WORLD HISTORY,2562376766,HTTP://WWW.BERMANMUSEUM.ORG,-85.82646,33.65842,PO BOX 2245,ANNISTON,AL,36202
8400100098,GMU,CALHOUN COUNTY SPORTS HALL OF FAME, ,HTTP://WWW.CCSHOF.COM/,-85.78071,33.82798,PO BOX 729,JACKSONVILLE,AL,36265
8400100113,GMU,ALABAMA NEGRO LEAGUE BASEBALL MUSEUM FOUNDATION, , ,-86.80581,33.51634,PO BOX 12524,BIRMINGHAM,AL,35202
8400100120,GMU,ALABAMA SPORTS HALL OF FAME,2053236665,HTTP://ASHOF.ORG,-86.81047,33.52522,2150 RICHARD ARRINGTON J,BIRMINGHAM,AL,35203
8400100126,GMU,CRADLE OF THE CONFEDERACY RAILROAD MUSEUM OF MONTGOMERY, , ,-86.31101,32.37375,BOX 1851,MONTGOMERY,AL,36106
8400100146,GMU,MARENGO COUNTY SPORTS HALL OF FAME, , ,-87.84868,32.49096,PO BOX 784,DEMOPOLIS,AL,36732
8400100147,GMU,MONROE COUNTY HERITAGE MUSEUM ENDOWMENT,2515757433,HTTP://WWW.TOKILLAMOCKINGBIRD.COM,-87.32765,31.51158,31 N ALABAMA AVE,MONROEVILLE,AL,36460
8400100150,GMU,BAYBEARS CHARITIES, , ,-88.11585,30.64483,755 BOLLING BROTHERS BLV,MOBILE,AL,36606
8400100163,GMU,AFRICAN AMERICAN HERITAGE TRAIL,2515332174,HTTP://MVAFRICANAMERICANHERITAGETRAIL.ORG/,-88.04614,30.68582,204 SOUTH LAWRENCE ST,MOBILE,AL,36633
8400100176,GMU,DEKALB COUNTY HOSIERY MUSEUM, , ,-85.76825,34.47746,PO BOX 680647,FT PAYNE,AL,35968
8400100177,GMU,FLOMATON AREA RAILROAD MUSEUM,2512961110,HTTP://WWW.FLOMATON.COM/,-87.24941,31.026,702 SYDNEY E MANNING BLVD,FLOMATON,AL,36441
8400100194,GMU,BIRMINGHAM BLACK RADIO MUSEUM, , ,-86.80692,33.49047,1623 12TH ST S,BIRMINGHAM,AL,35205
8400100200,GMU,COST OF FREEDOM VETERANS MUSEUM,2564982499,HTTP://WWW.COSTOFFREEDOMVETERANSMUSEUM.COM/,-86.49575,34.316,135 MAIN STREET,ARAB,AL,35016
8400100201,GMU,BLACK BELT MUSEUM,2056523828,HTTP://WWW.BLACKBELTMUSEUM.ORG/,-88.1937,32.73363,PO BOX 198,EPES,AL,35460
8400100257,GMU,MUSEUM OF THE CITY OF MOBILE,2512087569, ,-88.04008,30.69015,111 SOUTH ROYAL STREET,MOBILE,AL,36607
8400100268,GMU,CHAMBER COUNTY MUSEUM,3348649812,HTTP://WWW.LAFAYETTEAL.COM/DEFAULT.ASPX?MODE=MUSEUM,-85.43804,32.90652,PO BOX 171,LAFAYETTE,AL,36862
8400100269,GMU,INTERNATIONAL MOTORSPORTS HALL OF FAME & MUSEUM,2563625002,HTTP://WWW.MOTORSPORTSHALLOFFAME.COM/?HOMEPAGE=TRUE,-86.10313,33.43764,3198 SPEEDWAY BLVD,TALLADEGA,AL,35161
8400100296,GMU,FORT PAYNE DEPOT MUSEUM,2568455714,HTTP://WWW.FORTPAYNEDEPOTMUSEUM.COM/,-85.71449,34.43922,105 5TH STREET NE,FORT PAYNE,AL,35968
8400100298,GMU,ALABAMA JAZZ HALL OF FAME, ,HTTP://WWW.JAZZHALL.COM,-86.81283,33.51458,1631 4TH AVE N,BIRMINGHAM,AL,35203
8400100305,GMU,CENTER FOR CULTURAL ARTS,2565432787,HTTP://WWW.CULTURALARTS.ORG/,-86.00513,34.01391,501 BROAD STREET,GADSDEN,AL,35902
8400100315,GMU,MONTGOMERY WORLD HERITAGE MUSEUM, , ,-86.31063,32.36612,119 W JEFF DAVIS AVE,MONTGOMERY,AL,36104
8400100317,GMU,SCOTT AND ZELDA FITZGERALD MUSEUM,3342644222, ,-86.31101,32.37375,PO BOX 64,MONTGOMERY,AL,36101
8400100327,GMU,MOBILE SPORTS HALL OF FAME, , ,-88.18115,30.66666,1074 SOUTHERN WAY,MOBILE,AL,36609
8400100328,GMU,MUSEUM OF EAST ALABAMA,3347492751,HTTP://WWW.EASTALABAMA.ORG/VOLUNTEER.ASPX,-85.38025,32.64708,121 S 9TH STREET,OPELIKA,AL,36803
8400100329,GMU,MADISON COUNTY MILITARY HERITAGE,2565321662,HTTP://WWW.MCMHC.ORG/,-86.58595,34.7305,100 NORTHSIDE SQUARE,HUNTSVILLE,AL,35801
8400100335,GMU,NATIONAL VOTING RIGHTS MUSEUM AND INSTITUTE,3344180800,HTTP://NVRMI.COM/,-87.01724,32.40298,6 US HIGHWAY 80 EAST,SELMA,AL,36702
8400100343,GMU,JOHN SOLOMON MUSEUM OF LIVING HISTORY, , ,-86.01936,34.01233,1136 7TH AVE,GADSDEN,AL,35901
8400100358,GMU,BARBER VINTAGE MOTORSPORT MUSEUM,2056997275,HTTP://WWW.BARBERMUSEUM.ORG,-86.62444,33.50171,6030 BARBER MOTORSPORTS,BIRMINGHAM,AL,35094
8400100359,GMU,WALLACE MUSEUM FOUNDATION, , ,-86.31101,32.37375,PO BOX 667,MONTGOMERY,AL,36101
8400100370,GMU,SOUTH BALDWIN MUSEUM, , ,-87.68332,30.40633,PO BOX 546,FOLEY,AL,36536
8400100371,GMU,ALABAMA MENS HALL OF FAME,2057262362, ,-86.78814,33.46411,800 LAKESHORE DRIVE,BIRMINGHAM,AL,36801
8400100381,GMU,ALABAMA CONSTITUTION VILLAGE FOUNDATION,2565648100,HTTP://WWW.EARLYWORKS.COM,-86.58469,34.72861,404 MADISON ST SE,HUNTSVILLE,AL,35801
8400100386,GMU,VINTAGE RADIO MUSEUM,3349285124,HTTP://WWW.VRCMCT.ORG/,-87.83571,30.42221,10808 MCKENZIE RD,FAIRHOPE,AL,36532
8400100398,GMU,GEORGE WASHINGTON CARVER INTERPRETIVE MUSEUM,3347120933,HTTP://WWW.GWCARVERMUSEUM.ORG,-85.39257,31.22673,305 N FOSTER ST,DOTHAN,AL,36303
8400100401,GMU,HELEN KELLER BIRTHPLACE,2563834066,HTTP://WWW.HELENKELLERBIRTHPLACE.ORG,-87.70631,34.73802,300 N COMMONS ST W,TUSCUMBIA,AL,35674
8400100406,GMU,OLD METHODIST CHURCH MUSEUM OF DAPHNE,2516219620,HTTP://WWW.DAPHNEMUSEUMALABAMA.ORG/,-87.90917,30.6015,405 DRYER AVENUE,DAPHNE,AL,36526
8400100416,GMU,CAMP MCDOWELL,2053871806,HTTP://CAMPMCDOWELL.DIOALA.ORG/INDEX.HTML,-87.38654,34.00155,105 DELONG RD,NAUVOO,AL,35578
8400100435,GMU,TUSKEGEE HUMAN & CIVIL RIGHTS,3347240800,HTTP://WWW.TUSKEGEECENTER.ORG,-85.69088,32.42215,104 SOUTH ELM STREET,TUSKEGEE,AL,36083
8400100438,GMU,HANK WILLIAMS MEMORIAL FOUNDATION,3342623600,HTTP://WWW.THEHANKWILLIAMSMUSEUM.NET,-86.31167,32.3801,118 COMMERCE ST,MONTGOMERY,AL,36104
8400100452,GMU,HARTSELLE MILITARY MUSEUM,2562277308, ,-86.93845,34.44281,PO BOX 992,HARTSELLE,AL,35640
8400200001,GMU,SEWARD MUSEUM,9072243902,HTTP://WWW.MUSEUMSUSA.ORG/MISC/ERROR/BFB7149B-90EE-4520-9342-372415A8233C,-149.38716,60.20885,PO BOX 55,SEWARD,AK,99664
8400200007,GMU,TOTEM HERITAGE CENTER,9072255900, ,-131.63255,55.34301,601 DEERMOUNT ST,KETCHIKAN,AK,99901
8400200013,GMU,KIND HEART ALASKA MUSEUM,9074900054, ,-147.3687,64.77904,5 CHENA HOT SPRINGS RD,NORTH POLE,AK,99705
8400200015,GMU,JUNEAU DOUGLAS CITY MUSEUM,9075863572, ,-134.42701,58.30418,PO BOX 22450,JUNEAU,AK,99802
8400200016,GMU,HOPE AND SUNRISE MUSEUM,9077823740,HTTPS://SITES.GOOGLE.COM/SITE/HOPEHISTORICALSITE2/,-149.54407,60.88669,64851 2ND STREET; PO BOX 88,HOPE,AK,99605
8400200018,GMU,LAST CHANCE MINING MUSEUM,9075865338, ,-134.39819,58.30836,1001 BASIN RD,JUNEAU,AK,99801
8400200019,GMU,FAIRBANKS ICE MUSEUM,9074518222,HTTP://WWW.ICEMUSEUM.COM,-147.71794,64.84363,500 2ND AVE,FAIRBANKS,AK,99701
8400200020,GMU,DOROTHY G PAGE MUSEUM,9073739071,HTTP://WWW.CITYOFWASILLA.COM/DEPARTMENTS-DIVISIONS/MUSEUM,-149.44139,61.58234,323 N MAIN ST,WASILLA,AK,99654
8400200023,GMU,COLONY HOUSE MUSEUM,9077451935, ,-149.11008,61.59873,316 E ELMWOOD AVE,PALMER,AK,99645
8400200025,GMU,ALASKALAND PIONEER AIR MUSEUM,9074510037,HTTP://CO.FAIRBANKS.AK.US,-147.72457,64.84231,AIRPORT WAY,FAIRBANKS,AK,99707
8400200026,GMU,ALASKA TROOPER MUSEUM,9072795050,HTTP://WWW.ALASKATROOPERMUSEUM.COM,-149.88622,61.21765,245 W 5TH AVE STE 113,ANCHORAGE,AK,99501
8400200034,GMU,FAIRBANKS HOCKEY HALL OF FAME, , ,-147.70136,64.83881,219 SLATER DR,FAIRBANKS,AK,99701
8400200035,GMU,SIMON PANEAK MEMORIAL MUSEUM,9076613413, ,-151.89265,68.24085,341 MEKIANA ROAD,ANAKTUVUK PASS,AK,99721
8400200036,GMU,PALMER MUSEUM OF HISTORY AND ART,9077467668,HTTP://PALMERMUSEUM.ORG,-149.11359,61.59857,723 S VALLEY WAY,PALMER,AK,99645
8400200038,GMU,KENAI BICENTENNIAL VISITORS AND CULT. CENTER,9072831991, ,-151.26121,60.55468,11471 KENAI SPUR HWY,KENAI,AK,99611
8400200044,GMU,ALASKA STATE MUSEUM,9074652901,HTTP://MUSEUMS.ALASKA.GOV,-134.4148,58.30048,395 WHITTIER ST,JUNEAU,AK,99801
8400200062,GMU,STORIS MUSEUM, , ,-134.43055,58.29323,3201 NOWELL AVE,JUNEAU,AK,99801
8400200067,GMU,CLAUDIA KELSEY DOLL MUSEUM,9075864969,HTTP://WWW.AUNTCLAUDIASDOLLS.COM/,-134.40561,58.3005,114 S FRANKLIN ST SUITE #102,JUNEAU,AK,99801
8400200078,GMU,ALASKA JEWISH MUSEUM,9077707021, ,-149.86071,61.18946,1221 E 35TH AVENUE,ANCHORAGE,AK,99508
8400200079,GMU,JILKAAT KWAAN HERITAGE CENTER,9077675485,HTTP://JILKAATKWAANHERITAGECENTER.ORG/,-135.47365,59.24675,32 CHILKAT AVE,HAINES,AK,99827
8400200080,GMU,PRIBILOF ALEUTS,9072232348, ,-149.87117,61.14654,615 E 82ND AVE STE 200,ANCHORAGE,AK,99518
8400200082,GMU,ALASKA SPORTS HALL OF FAME, , ,-149.6926,61.08741,14815 ECHO CANYON RD,ANCHORAGE,AK,99516
8400200085,GMU,SEWARD COMMUNITY LIBRARY,9072244082, ,-149.38716,60.20885,PO BOX 2023,SEWARD,AK,99664
8400200090,GMU,INUPIAT HERITAGE CENTER,9078520422,HTTP://WWW.INUPIATHERITAGE.ORG/,-155.14303,70.66976,5421 N STAR ST,BARROW,AK,99723
